2024-11-19 	22:21:39 	01934797-046e-71e1-b042-3b679bb4a75e 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:21:42 	01934797-103c-77e6-8ca5-4d3cfaf03cc1 	GET  	undefined             	/index.html
2024-11-19 	22:21:42 	01934797-1041-71f4-9f86-208552ccf37e 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:21:42 	01934797-104a-737a-9042-823f34da26f4 	GET  	undefined             	/css/styles.css
2024-11-19 	22:21:42 	01934797-104a-737a-9042-8632a0c22fa8 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:21:42 	01934797-104a-737a-9042-8b292b551adb 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:21:42 	01934797-105f-768c-b78d-5cf55783de49 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:21:42 	01934797-1078-7331-93e5-49832a0d1206 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:22:34 	01934797-da8a-70fd-a89f-0db6a9355df3 	GET  	undefined             	/
2024-11-19 	22:22:34 	01934797-da8f-722c-b5f0-6d0d277a2571 	GET  	undefined             	/css/styles.css
2024-11-19 	22:22:34 	01934797-da90-7244-84a0-b18c6ff1e7c7 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:22:34 	01934797-da90-7244-84a0-b5c7334a2411 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:22:36 	01934797-e26a-7326-b9d5-694968191581 	GET  	undefined             	/index.html
2024-11-19 	22:22:36 	01934797-e272-7178-96ec-5b985491b53d 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:22:36 	01934797-e27b-715b-a046-5cab6612c9e4 	GET  	undefined             	/css/styles.css
2024-11-19 	22:22:36 	01934797-e27b-715b-a046-60549929b051 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:22:36 	01934797-e27b-715b-a046-65363fc559e1 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:22:36 	01934797-e289-745f-b269-29d4e30f3e77 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:22:36 	01934797-e29d-7269-92b8-00669f82d4f1 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:23:33 	01934798-c299-779a-930f-729a3c32bb24 	GET  	undefined             	/
2024-11-19 	22:23:33 	01934798-c29e-768c-8c61-125fbeeb0950 	GET  	undefined             	/css/styles.css
2024-11-19 	22:23:33 	01934798-c29f-745d-b894-a884732c1994 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:23:33 	01934798-c29f-745d-b894-af3a92ec824c 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:23:36 	01934798-cdf3-755c-b846-79b4acb0e9a8 	GET  	undefined             	/index.html
2024-11-19 	22:23:36 	01934798-cdfc-72ec-84a0-2990d704631b 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:23:36 	01934798-ce04-7366-8470-6d019e728133 	GET  	undefined             	/css/styles.css
2024-11-19 	22:23:36 	01934798-ce05-70a5-b227-199ffbe5cb0f 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:23:36 	01934798-ce05-70a5-b227-1f0bdd705d2d 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:23:36 	01934798-ce17-70dd-9d97-55fa902ec05e 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:23:36 	01934798-ce2d-7679-9b77-d9df6b1418ba 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:25:14 	0193479a-4d3f-76aa-8425-2bce0823a4e3 	GET  	undefined             	/
2024-11-19 	22:25:14 	0193479a-4d44-75f3-8160-2cd263dbeb4e 	GET  	undefined             	/css/styles.css
2024-11-19 	22:25:14 	0193479a-4d44-75f3-8160-334f33a3e2ee 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:25:14 	0193479a-4d45-7608-9f1d-ad4f8dabd97d 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:25:17 	0193479a-55ed-771f-a661-95a67825f716 	GET  	undefined             	/index.html
2024-11-19 	22:25:17 	0193479a-55f5-74a9-9d07-c2be1e0e67b7 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:26:35 	0193479b-8858-7514-9425-6a80e8c0ac87 	GET  	undefined             	/
2024-11-19 	22:26:35 	0193479b-885d-753f-b117-b81810b84d9f 	GET  	undefined             	/css/styles.css
2024-11-19 	22:26:35 	0193479b-885e-71a6-a43e-5d85ad4724bc 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:26:35 	0193479b-885e-71a6-a43e-6210ef70e4d2 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:26:35 	0193479b-88a6-70b4-a6d2-89aa25329688 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:26:37 	0193479b-8f90-7068-bcc6-dbe7133e7d69 	GET  	undefined             	/index.html
2024-11-19 	22:26:37 	0193479b-8f99-703f-b494-c67c6df4c4a9 	POST 	http://localhost:8080 	/index.html
